security_id,theme_id,confidence,rationale,source,inherited
2330,SEMI_FOUNDRY,0.75,primary mapping to SEMI_FOUNDRY (晶圓代工),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3529,SEMI_IC_DESIGN,0.75,primary mapping to SEMI_IC_DESIGN (IC設計),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3529,SEMI,0.75,inherited from SEMI_IC_DESIGN,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
8016,SEMI_IC_DESIGN,0.75,primary mapping to SEMI_IC_DESIGN (IC設計),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
8016,SEMI,0.75,inherited from SEMI_IC_DESIGN,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
5269,SEMI_IC_DESIGN,0.75,primary mapping to SEMI_IC_DESIGN (IC設計),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
5269,SEMI,0.75,inherited from SEMI_IC_DESIGN,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
3443,SEMI_IC_DESIGN,0.75,primary mapping to SEMI_IC_DESIGN (IC設計),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3443,SEMI,0.75,inherited from SEMI_IC_DESIGN,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
6643,SEMI_IC_DESIGN,0.75,primary mapping to SEMI_IC_DESIGN (IC設計),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
6643,SEMI,0.75,inherited from SEMI_IC_DESIGN,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
4919,SEMI_IC_DESIGN,0.75,primary mapping to SEMI_IC_DESIGN (IC設計),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
4919,SEMI,0.75,inherited from SEMI_IC_DESIGN,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
3035,SEMI_IC_DESIGN,0.75,primary mapping to SEMI_IC_DESIGN (IC設計),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3035,SEMI,0.75,inherited from SEMI_IC_DESIGN,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
2401,SEMI_IC_DESIGN,0.75,primary mapping to SEMI_IC_DESIGN (IC設計),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
2401,SEMI,0.75,inherited from SEMI_IC_DESIGN,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
4968,SEMI_IC_DESIGN,0.75,primary mapping to SEMI_IC_DESIGN (IC設計),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
4968,SEMI,0.75,inherited from SEMI_IC_DESIGN,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
2454,SEMI_ANALOG,0.75,primary mapping to SEMI_ANALOG (類比IC),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
6415,SEMI_ANALOG,0.75,primary mapping to SEMI_ANALOG (類比IC),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
8081,SEMI_ANALOG,0.75,primary mapping to SEMI_ANALOG (類比IC),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
8081,SEMI_IC_DESIGN,0.75,inherited from SEMI_ANALOG,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
8081,SEMI,0.75,inherited from SEMI_ANALOG,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
3227,SEMI_ANALOG,0.75,primary mapping to SEMI_ANALOG (類比IC),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3227,SEMI_IC_DESIGN,0.75,inherited from SEMI_ANALOG,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
3227,SEMI,0.75,inherited from SEMI_ANALOG,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
3437,SEMI_ANALOG,0.75,primary mapping to SEMI_ANALOG (類比IC),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3437,SEMI_IC_DESIGN,0.75,inherited from SEMI_ANALOG,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
3437,SEMI,0.75,inherited from SEMI_ANALOG,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
3558,SEMI_ANALOG,0.75,primary mapping to SEMI_ANALOG (類比IC),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3558,SEMI_IC_DESIGN,0.75,inherited from SEMI_ANALOG,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
3558,SEMI,0.75,inherited from SEMI_ANALOG,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
4919,SEMI_MCU,0.75,primary mapping to SEMI_MCU (MCU),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
2454,SEMI_MCU,0.75,primary mapping to SEMI_MCU (MCU),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3227,SEMI_MCU,0.75,primary mapping to SEMI_MCU (MCU),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
6202,SEMI_MCU,0.75,primary mapping to SEMI_MCU (MCU),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
6202,SEMI_IC_DESIGN,0.75,inherited from SEMI_MCU,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
6202,SEMI,0.75,inherited from SEMI_MCU,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
3041,SEMI_MCU,0.75,primary mapping to SEMI_MCU (MCU),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3041,SEMI_IC_DESIGN,0.75,inherited from SEMI_MCU,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
3041,SEMI,0.75,inherited from SEMI_MCU,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
2379,SEMI_RF,0.75,primary mapping to SEMI_RF (射頻IC),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
4968,SEMI_RF,0.75,primary mapping to SEMI_RF (射頻IC),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3105,SEMI_RF,0.75,primary mapping to SEMI_RF (射頻IC),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3105,SEMI_IC_DESIGN,0.75,inherited from SEMI_RF,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
3105,SEMI,0.75,inherited from SEMI_RF,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
2455,SEMI_RF,0.75,primary mapping to SEMI_RF (射頻IC),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
2455,SEMI_IC_DESIGN,0.75,inherited from SEMI_RF,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
2455,SEMI,0.75,inherited from SEMI_RF,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
5347,SEMI_RF,0.75,primary mapping to SEMI_RF (射頻IC),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
5347,SEMI_IC_DESIGN,0.75,inherited from SEMI_RF,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
3711,SEMI_PACKAGING,0.75,primary mapping to SEMI_PACKAGING (封裝測試),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
6239,SEMI_PACKAGING,0.75,primary mapping to SEMI_PACKAGING (封裝測試),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
6239,SEMI,0.75,inherited from SEMI_PACKAGING,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
2329,SEMI_PACKAGING,0.75,primary mapping to SEMI_PACKAGING (封裝測試),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
2329,SEMI,0.75,inherited from SEMI_PACKAGING,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
2449,SEMI_PACKAGING,0.75,primary mapping to SEMI_PACKAGING (封裝測試),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
2449,SEMI,0.75,inherited from SEMI_PACKAGING,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
2441,SEMI_PACKAGING,0.75,primary mapping to SEMI_PACKAGING (封裝測試),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
2441,SEMI,0.75,inherited from SEMI_PACKAGING,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
3374,SEMI_PACKAGING,0.75,primary mapping to SEMI_PACKAGING (封裝測試),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3374,SEMI,0.75,inherited from SEMI_PACKAGING,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
3264,SEMI_PACKAGING,0.75,primary mapping to SEMI_PACKAGING (封裝測試),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3264,SEMI,0.75,inherited from SEMI_PACKAGING,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
3711,SEMI_ADV_PACK,0.75,primary mapping to SEMI_ADV_PACK (先進封裝),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
6239,SEMI_ADV_PACK,0.75,primary mapping to SEMI_ADV_PACK (先進封裝),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3653,SEMI_ADV_PACK,0.75,primary mapping to SEMI_ADV_PACK (先進封裝),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3653,SEMI_PACKAGING,0.75,inherited from SEMI_ADV_PACK,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
2330,SEMI_ADV_PACK,0.75,primary mapping to SEMI_ADV_PACK (先進封裝),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
2330,SEMI_PACKAGING,0.75,inherited from SEMI_ADV_PACK,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
3189,SEMI_ADV_PACK,0.75,primary mapping to SEMI_ADV_PACK (先進封裝),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3189,SEMI_PACKAGING,0.75,inherited from SEMI_ADV_PACK,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
3037,SEMI_ABF,0.7,primary mapping to SEMI_ABF (ABF載板),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3037,SEMI_PACKAGING,0.7,inherited from SEMI_ABF,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
8046,SEMI_ABF,0.7,primary mapping to SEMI_ABF (ABF載板),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
8046,SEMI_PACKAGING,0.7,inherited from SEMI_ABF,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
8046,SEMI,0.7,inherited from SEMI_ABF,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
3189,SEMI_ABF,0.7,primary mapping to SEMI_ABF (ABF載板),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
2368,SEMI_ABF,0.7,primary mapping to SEMI_ABF (ABF載板),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
2368,SEMI_PACKAGING,0.7,inherited from SEMI_ABF,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
2368,SEMI,0.7,inherited from SEMI_ABF,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
2449,SEMI_TEST,0.75,primary mapping to SEMI_TEST (測試與探針),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
6510,SEMI_TEST,0.75,primary mapping to SEMI_TEST (測試與探針),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
6510,SEMI_PACKAGING,0.75,inherited from SEMI_TEST,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
6510,SEMI,0.75,inherited from SEMI_TEST,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
3264,SEMI_TEST,0.75,primary mapping to SEMI_TEST (測試與探針),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3374,SEMI_TEST,0.75,primary mapping to SEMI_TEST (測試與探針),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3680,SEMI_TEST,0.75,primary mapping to SEMI_TEST (測試與探針),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3680,SEMI_PACKAGING,0.75,inherited from SEMI_TEST,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
3680,SEMI,0.75,inherited from SEMI_TEST,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
2408,SEMI_MEMORY,0.75,primary mapping to SEMI_MEMORY (記憶體),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
2408,SEMI,0.75,inherited from SEMI_MEMORY,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
2344,SEMI_MEMORY,0.75,primary mapping to SEMI_MEMORY (記憶體),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
2344,SEMI,0.75,inherited from SEMI_MEMORY,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
2337,SEMI_MEMORY,0.75,primary mapping to SEMI_MEMORY (記憶體),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
2337,SEMI,0.75,inherited from SEMI_MEMORY,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
8299,SEMI_MEMORY,0.75,primary mapping to SEMI_MEMORY (記憶體),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
8299,SEMI,0.75,inherited from SEMI_MEMORY,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
3260,SEMI_MEMORY,0.75,primary mapping to SEMI_MEMORY (記憶體),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3260,SEMI,0.75,inherited from SEMI_MEMORY,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
8271,SEMI_MEMORY,0.75,primary mapping to SEMI_MEMORY (記憶體),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
8271,SEMI,0.75,inherited from SEMI_MEMORY,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
6531,SEMI_MEMORY,0.75,primary mapping to SEMI_MEMORY (記憶體),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
6531,SEMI,0.75,inherited from SEMI_MEMORY,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
4967,SEMI_MEMORY,0.75,primary mapping to SEMI_MEMORY (記憶體),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
4967,SEMI,0.75,inherited from SEMI_MEMORY,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
2408,SEMI_DRAM,0.75,primary mapping to SEMI_DRAM (DRAM),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
2344,SEMI_DRAM,0.75,primary mapping to SEMI_DRAM (DRAM),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3260,SEMI_DRAM,0.75,primary mapping to SEMI_DRAM (DRAM),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
8271,SEMI_DRAM,0.75,primary mapping to SEMI_DRAM (DRAM),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
2337,SEMI_NAND,0.75,primary mapping to SEMI_NAND (NAND),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
8299,SEMI_NAND,0.75,primary mapping to SEMI_NAND (NAND),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
2344,SEMI_NAND,0.75,primary mapping to SEMI_NAND (NAND),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3260,SEMI_NAND,0.75,primary mapping to SEMI_NAND (NAND),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
2454,SEMI_HBM,0.7,primary mapping to SEMI_HBM (HBM),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
2454,SEMI_MEMORY,0.7,inherited from SEMI_HBM,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
2330,SEMI_HBM,0.7,primary mapping to SEMI_HBM (HBM),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
2330,SEMI_MEMORY,0.7,inherited from SEMI_HBM,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
6531,SEMI_HBM,0.7,primary mapping to SEMI_HBM (HBM),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
2408,SEMI_HBM,0.7,primary mapping to SEMI_HBM (HBM),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
6488,SEMI_WAFER,0.75,primary mapping to SEMI_WAFER (矽晶圓),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
6488,SEMI,0.75,inherited from SEMI_WAFER,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
5483,SEMI_WAFER,0.75,primary mapping to SEMI_WAFER (矽晶圓),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
5483,SEMI,0.75,inherited from SEMI_WAFER,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
3532,SEMI_WAFER,0.75,primary mapping to SEMI_WAFER (矽晶圓),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3532,SEMI,0.75,inherited from SEMI_WAFER,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
3016,SEMI_WAFER,0.75,primary mapping to SEMI_WAFER (矽晶圓),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3016,SEMI,0.75,inherited from SEMI_WAFER,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
6182,SEMI_WAFER,0.75,primary mapping to SEMI_WAFER (矽晶圓),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
6182,SEMI,0.75,inherited from SEMI_WAFER,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
3686,SEMI_WAFER,0.75,primary mapping to SEMI_WAFER (矽晶圓),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3686,SEMI,0.75,inherited from SEMI_WAFER,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
6196,SEMI_EQUIP,0.75,primary mapping to SEMI_EQUIP (半導體設備),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
6196,SEMI,0.75,inherited from SEMI_EQUIP,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
3680,SEMI_EQUIP,0.75,primary mapping to SEMI_EQUIP (半導體設備),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3131,SEMI_EQUIP,0.75,primary mapping to SEMI_EQUIP (半導體設備),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3131,SEMI,0.75,inherited from SEMI_EQUIP,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
3583,SEMI_EQUIP,0.75,primary mapping to SEMI_EQUIP (半導體設備),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3583,SEMI,0.75,inherited from SEMI_EQUIP,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
3563,SEMI_EQUIP,0.75,primary mapping to SEMI_EQUIP (半導體設備),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3563,SEMI,0.75,inherited from SEMI_EQUIP,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
5434,SEMI_EQUIP,0.75,primary mapping to SEMI_EQUIP (半導體設備),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
5434,SEMI,0.75,inherited from SEMI_EQUIP,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
2467,SEMI_EQUIP,0.75,primary mapping to SEMI_EQUIP (半導體設備),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
2467,SEMI,0.75,inherited from SEMI_EQUIP,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
3551,SEMI_EQUIP,0.75,primary mapping to SEMI_EQUIP (半導體設備),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
3551,SEMI,0.75,inherited from SEMI_EQUIP,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
8028,SEMI_EQUIP,0.75,primary mapping to SEMI_EQUIP (半導體設備),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
8028,SEMI,0.75,inherited from SEMI_EQUIP,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
6640,SEMI_EQUIP,0.75,primary mapping to SEMI_EQUIP (半導體設備),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
6640,SEMI,0.75,inherited from SEMI_EQUIP,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
1723,SEMI_MATERIALS,0.75,primary mapping to SEMI_MATERIALS (半導體材料),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
1723,SEMI,0.75,inherited from SEMI_MATERIALS,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
1711,SEMI_MATERIALS,0.75,primary mapping to SEMI_MATERIALS (半導體材料),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
1711,SEMI,0.75,inherited from SEMI_MATERIALS,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
6274,SEMI_MATERIALS,0.75,primary mapping to SEMI_MATERIALS (半導體材料),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
6274,SEMI,0.75,inherited from SEMI_MATERIALS,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
4306,SEMI_MATERIALS,0.75,primary mapping to SEMI_MATERIALS (半導體材料),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
4306,SEMI,0.75,inherited from SEMI_MATERIALS,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
6271,SEMI_MATERIALS,0.75,primary mapping to SEMI_MATERIALS (半導體材料),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
6271,SEMI,0.75,inherited from SEMI_MATERIALS,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
4770,SEMI_MATERIALS,0.75,primary mapping to SEMI_MATERIALS (半導體材料),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
4770,SEMI,0.75,inherited from SEMI_MATERIALS,v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,True
1711,SEMI_CHEM,0.75,primary mapping to SEMI_CHEM (製程化學品),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
1723,SEMI_CHEM,0.75,primary mapping to SEMI_CHEM (製程化學品),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
4306,SEMI_CHEM,0.75,primary mapping to SEMI_CHEM (製程化學品),v2-tax-2 research mapping; company primary business lines plus TW listed-code industry coverage,False
